latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
35.5518,35.83139,341.23,1,1,2025-07-03,1157,Aqua,MODIS,85,6.1NRT,313.95,28.87,D
35.55336,35.84206,343.02,1,1,2025-07-03,1157,Aqua,MODIS,87,6.1NRT,314.09,32.16,D
35.81308,35.93059,327.59,4.68,1.98,2025-07-03,1741,Terra,MODIS,100,6.1NRT,293.88,238.6,N
35.81396,35.92216,322.33,4.68,1.98,2025-07-03,1741,Terra,MODIS,100,6.1NRT,293.8,183.7,N
35.8058,35.90122,311.14,4.03,1.86,2025-07-03,1919,Terra,MODIS,58,6.1NRT,291.97,71.4,N
35.80761,35.94381,313.94,4.05,1.87,2025-07-03,1919,Terra,MODIS,84,6.1NRT,292.09,90.42,N
35.81641,35.90516,321.06,4.03,1.86,2025-07-03,1919,Terra,MODIS,100,6.1NRT,292.49,133.23,N
35.81843,35.94651,317.52,4.05,1.87,2025-07-03,1919,Terra,MODIS,94,6.1NRT,292.11,111.43,N
35.82412,35.94094,308.22,4.05,1.87,2025-07-03,1919,Terra,MODIS,59,6.1NRT,291.7,63.63,N
35.81737,35.93713,305.42,4.25,1.91,2025-07-03,2356,Aqua,MODIS,64,6.1NRT,291.45,60,N
35.82347,35.94277,304.76,4.25,1.91,2025-07-03,2356,Aqua,MODIS,61,6.1NRT,291.62,52.77,N
35.80588,35.94888,300.17,4.5,1.95,2025-07-04,134,Aqua,MODIS,17,6.1NRT,290.11,37.29,N
35.80781,35.95683,301.91,4.5,1.95,2025-07-04,134,Aqua,MODIS,45,6.1NRT,290.23,48.16,N
35.81726,35.90474,300.7,4.47,1.94,2025-07-04,134,Aqua,MODIS,26,6.1NRT,290.62,37.33,N
35.81932,35.91318,308.43,4.47,1.94,2025-07-04,134,Aqua,MODIS,74,6.1NRT,291.1,80.88,N
35.8138,35.93977,347.56,1,1,2025-07-04,720,Terra,MODIS,92,6.1NRT,307.93,47.9,D
35.81536,35.92902,391.41,1,1,2025-07-04,720,Terra,MODIS,100,6.1NRT,314.32,195.46,D
35.81691,35.91829,348.35,1,1,2025-07-04,720,Terra,MODIS,93,6.1NRT,309.84,48.48,D
35.82411,35.93091,325.71,1,1,2025-07-04,720,Terra,MODIS,60,6.1NRT,304.77,14.21,D
35.82567,35.92017,342.78,1,1,2025-07-04,720,Terra,MODIS,89,6.1NRT,306.05,38.37,D
35.73483,35.98506,326.58,3.16,1.68,2025-07-04,1236,Aqua,MODIS,39,6.1NRT,294.97,74.22,D
35.7359,35.97612,347.51,3.16,1.68,2025-07-04,1236,Aqua,MODIS,94,6.1NRT,296.53,250.29,D
35.7474,35.9506,437.58,3.14,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,318.71,2910.08,D
35.7487,35.94225,408.62,3.14,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,315.1,1562.85,D
35.74954,35.98198,473.71,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,319.51,5637.09,D
35.7507,35.97417,491.83,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,327.61,7511.66,D
35.75993,35.91645,360.17,3.13,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,311.36,380.12,D
35.76146,35.90864,337.46,3.13,1.68,2025-07-04,1236,Aqua,MODIS,73,6.1NRT,309.31,138.61,D
35.76214,35.94835,463.2,3.14,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,328.56,4664.71,D
35.76348,35.94038,442.46,3.14,1.68,2025-07-04,1236,Aqua,MODIS,94,6.1NRT,325.93,3188.87,D
35.76432,35.97989,426.85,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,309.88,2360.32,D
35.76548,35.97189,442.02,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,314.44,3201.19,D
35.77836,35.94023,427.93,3.14,1.68,2025-07-04,1236,Aqua,MODIS,94,6.1NRT,319.87,2396.61,D
35.78032,35.97074,408.79,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,312.29,1586.96,D
35.79092,35.90479,384.69,3.13,1.68,2025-07-04,1236,Aqua,MODIS,94,6.1NRT,313.82,847.84,D
35.7932,35.93929,406.95,3.14,1.68,2025-07-04,1236,Aqua,MODIS,94,6.1NRT,318.92,1510.55,D
35.79521,35.97009,438.52,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,315.69,2994.13,D
35.80575,35.90415,338.05,3.13,1.68,2025-07-04,1236,Aqua,MODIS,89,6.1NRT,309.47,155.75,D
35.80714,35.93257,371.75,3.14,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,315.78,582.86,D
35.80793,35.93682,394.05,3.14,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,316.45,1100.39,D
35.80907,35.96452,377.54,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,306.79,700.65,D
35.81001,35.96822,384.32,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,305.16,862.45,D
35.81994,35.89855,326.96,3.13,1.68,2025-07-04,1236,Aqua,MODIS,70,6.1NRT,307.18,70.61,D
35.82051,35.90268,329.78,3.13,1.68,2025-07-04,1236,Aqua,MODIS,83,6.1NRT,307.5,92.61,D
35.82189,35.93018,416.24,3.14,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,316.28,1870.57,D
35.82266,35.93444,421.3,3.14,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,315.22,2091.42,D
35.82378,35.96116,374.65,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,304.27,646.39,D
35.82478,35.96595,353.56,3.16,1.68,2025-07-04,1236,Aqua,MODIS,97,6.1NRT,303.03,322.72,D
35.74956,35.95255,305.46,1.18,1.08,2025-07-04,1821,Terra,MODIS,15,6.1NRT,292.45,5.79,N
35.75167,35.96536,334.27,1.17,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,295.24,42.18,N
35.75384,35.97848,307.86,1.17,1.08,2025-07-04,1821,Terra,MODIS,33,6.1NRT,293.76,7.96,N
35.75693,35.93786,335.58,1.18,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,294.33,43.38,N
35.759,35.95041,371.28,1.18,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,298.16,149.51,N
35.76111,35.96326,313.41,1.17,1.08,2025-07-04,1821,Terra,MODIS,57,6.1NRT,293.96,11.51,N
35.76629,35.93525,323.27,1.18,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,294.21,22.87,N
35.76835,35.94776,319.71,1.18,1.08,2025-07-04,1821,Terra,MODIS,99,6.1NRT,295.51,17.73,N
35.77568,35.9327,308.41,1.18,1.08,2025-07-04,1821,Terra,MODIS,16,6.1NRT,294.72,6.66,N
35.78503,35.92994,318.27,1.18,1.08,2025-07-04,1821,Terra,MODIS,96,6.1NRT,295.6,16.14,N
35.78609,35.99643,312.63,1.17,1.08,2025-07-04,1821,Terra,MODIS,64,6.1NRT,294.91,11.8,N
35.78862,35.9235,312.5,1.18,1.08,2025-07-04,1821,Terra,MODIS,76,6.1NRT,294.58,11.58,N
35.79344,35.9816,314.01,1.17,1.08,2025-07-04,1821,Terra,MODIS,71,6.1NRT,293.86,10.6,N
35.79546,35.99401,332.35,1.17,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,295.85,36.83,N
35.79939,35.98764,327.18,1.17,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,294.78,29.52,N
35.80882,35.98562,326.95,1.17,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,294.01,30.12,N
35.81092,35.99818,306.77,1.17,1.08,2025-07-04,1821,Terra,MODIS,69,6.1NRT,292.32,8.29,N
35.81599,35.97001,320.07,1.17,1.08,2025-07-04,1821,Terra,MODIS,86,6.1NRT,294.38,19,N
35.81818,35.98315,319.47,1.17,1.08,2025-07-04,1821,Terra,MODIS,87,6.1NRT,292.79,19.35,N
35.82336,35.95549,311.3,1.17,1.08,2025-07-04,1821,Terra,MODIS,45,6.1NRT,294.03,10.58,N
35.82541,35.96786,315.33,1.17,1.08,2025-07-04,1821,Terra,MODIS,57,6.1NRT,293.28,14.66,N
35.82627,35.9141,325.01,1.18,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,295.39,27.07,N
35.8284,35.92688,317.11,1.18,1.08,2025-07-04,1821,Terra,MODIS,94,6.1NRT,295.08,16.72,N
35.74784,35.97064,310.92,1.09,1.04,2025-07-05,37,Aqua,MODIS,81,6.1NRT,291.66,11.08,N
35.75695,35.97252,304.35,1.09,1.04,2025-07-05,37,Aqua,MODIS,60,6.1NRT,292.36,6.88,N
35.75854,35.96061,306.64,1.09,1.04,2025-07-05,37,Aqua,MODIS,69,6.1NRT,291.81,8.45,N
35.78762,35.93633,309.86,1.1,1.04,2025-07-05,37,Aqua,MODIS,79,6.1NRT,292.76,10.3,N
35.7981,35.99952,303.4,1.09,1.04,2025-07-05,37,Aqua,MODIS,33,6.1NRT,290.88,5.81,N
35.81781,35.99188,306.36,1.09,1.04,2025-07-05,37,Aqua,MODIS,41,6.1NRT,290.11,7.45,N
35.8194,35.97978,343.28,1.09,1.04,2025-07-05,37,Aqua,MODIS,100,6.1NRT,293.38,55.45,N
35.82727,35.92001,325.55,1.1,1.05,2025-07-05,37,Aqua,MODIS,100,6.1NRT,294.75,26.12,N
35.82885,35.90796,313.02,1.1,1.05,2025-07-05,37,Aqua,MODIS,86,6.1NRT,293.45,12.42,N
35.8348,35.93401,304.41,1.1,1.04,2025-07-05,37,Aqua,MODIS,60,6.1NRT,292.8,6.13,N
35.8364,35.92189,306.39,1.1,1.05,2025-07-05,37,Aqua,MODIS,68,6.1NRT,293.84,7.61,N
35.73521,35.97212,364.16,3.11,1.67,2025-07-05,758,Terra,MODIS,100,6.1NRT,300.65,471.85,D
35.74969,35.97603,364.1,3.11,1.67,2025-07-05,758,Terra,MODIS,100,6.1NRT,305.18,467.01,D
35.74996,35.9827,344.38,3.11,1.67,2025-07-05,758,Terra,MODIS,92,6.1NRT,303.63,225.69,D
35.75677,35.94522,374.92,3.09,1.67,2025-07-05,758,Terra,MODIS,100,6.1NRT,305.3,645.61,D
35.75717,35.95217,380.68,3.09,1.67,2025-07-05,758,Terra,MODIS,87,6.1NRT,306.25,763.4,D
35.7709,35.95055,323.45,3.09,1.67,2025-07-05,758,Terra,MODIS,47,6.1NRT,303.66,64.04,D
35.77137,35.9572,317.83,3.09,1.67,2025-07-05,758,Terra,MODIS,28,6.1NRT,303.6,39.96,D
35.79272,35.99746,328.73,3.11,1.67,2025-07-05,758,Terra,MODIS,62,6.1NRT,300.59,97.97,D
35.81453,35.96985,361.61,3.09,1.67,2025-07-05,758,Terra,MODIS,100,6.1NRT,303.97,425.63,D
35.82148,35.93983,330,3.08,1.67,2025-07-05,758,Terra,MODIS,81,6.1NRT,301.98,109.74,D
35.82829,35.91041,318.95,3.06,1.66,2025-07-05,758,Terra,MODIS,54,6.1NRT,301.29,47.67,D
35.82901,35.97362,328.11,3.09,1.67,2025-07-05,758,Terra,MODIS,62,6.1NRT,299.54,99.7,D
35.83604,35.94315,333.09,3.08,1.67,2025-07-05,758,Terra,MODIS,84,6.1NRT,299.54,134.28,D
35.72661,35.94509,328.03,1.48,1.2,2025-07-05,1136,Aqua,MODIS,78,6.1NRT,304.31,24.2,D
35.74147,35.93501,343.64,1.48,1.2,2025-07-05,1136,Aqua,MODIS,92,6.1NRT,309.25,62.93,D
35.81238,35.96454,341.99,1.47,1.2,2025-07-05,1136,Aqua,MODIS,91,6.1NRT,306.67,50.79,D
35.81813,35.95683,330.9,1.47,1.2,2025-07-05,1136,Aqua,MODIS,42,6.1NRT,309.3,28.51,D
35.8211,35.9722,412.13,1.46,1.2,2025-07-05,1136,Aqua,MODIS,100,6.1NRT,328.49,563.87,D
35.82283,35.96241,378.98,1.47,1.2,2025-07-05,1136,Aqua,MODIS,100,6.1NRT,318.34,230.82,D
35.82523,35.93729,334.21,1.47,1.2,2025-07-05,1136,Aqua,MODIS,73,6.1NRT,310.24,36.02,D
35.82575,35.97805,499.57,1.46,1.2,2025-07-05,1136,Aqua,MODIS,100,6.1NRT,400.07,2772.37,D
35.82843,35.95387,370.58,1.47,1.2,2025-07-05,1136,Aqua,MODIS,100,6.1NRT,317.08,184.18,D
35.82883,35.99461,438.64,1.46,1.19,2025-07-05,1136,Aqua,MODIS,100,6.1NRT,312.11,984.25,D
35.83155,35.97004,472.49,1.46,1.2,2025-07-05,1136,Aqua,MODIS,100,6.1NRT,400.07,1817.83,D
35.83242,35.91807,360.31,1.47,1.2,2025-07-05,1136,Aqua,MODIS,100,6.1NRT,309.8,132.24,D
35.83468,35.98634,457.67,1.46,1.19,2025-07-05,1136,Aqua,MODIS,100,6.1NRT,317.24,1409.66,D
35.83564,35.93481,365.53,1.47,1.2,2025-07-05,1136,Aqua,MODIS,100,6.1NRT,308.85,158.04,D
35.83883,35.95141,363.61,1.47,1.2,2025-07-05,1136,Aqua,MODIS,100,6.1NRT,306.61,150.77,D
35.84197,35.96776,391.62,1.46,1.2,2025-07-05,1136,Aqua,MODIS,100,6.1NRT,309.71,346.49,D
35.84502,35.9837,335.47,1.46,1.19,2025-07-05,1136,Aqua,MODIS,87,6.1NRT,301.55,49.3,D
35.73735,35.95306,309.46,1.95,1.36,2025-07-05,1900,Terra,MODIS,49,6.1NRT,293.8,20.05,N
35.74223,35.94762,311.7,1.95,1.36,2025-07-05,1900,Terra,MODIS,83,6.1NRT,293.84,25.3,N
35.7476,35.93079,304.45,1.94,1.36,2025-07-05,1900,Terra,MODIS,13,6.1NRT,293.45,11.4,N
35.74942,35.95177,308.57,1.95,1.36,2025-07-05,1900,Terra,MODIS,61,6.1NRT,293.31,18.77,N
35.75421,35.94531,305.23,1.95,1.36,2025-07-05,1900,Terra,MODIS,63,6.1NRT,293.07,14.55,N
35.81959,35.99828,310.73,1.96,1.37,2025-07-05,1900,Terra,MODIS,50,6.1NRT,292.28,22.28,N
35.8299,35.9096,305.74,1.94,1.36,2025-07-05,1900,Terra,MODIS,65,6.1NRT,294.5,15.11,N
35.83165,35.99638,320.4,1.96,1.37,2025-07-05,1900,Terra,MODIS,100,6.1NRT,293.33,43.88,N
35.83623,35.98892,314.01,1.96,1.37,2025-07-05,1900,Terra,MODIS,88,6.1NRT,293.09,30.63,N
35.83848,35.93373,328.12,1.95,1.36,2025-07-05,1900,Terra,MODIS,100,6.1NRT,294.99,66.81,N
35.84017,35.95337,312.96,1.95,1.36,2025-07-05,1900,Terra,MODIS,86,6.1NRT,293.73,26.25,N
35.84188,35.97328,319.65,1.96,1.37,2025-07-05,1900,Terra,MODIS,99,6.1NRT,293.41,43.96,N
35.84345,35.92684,322.42,1.95,1.36,2025-07-05,1900,Terra,MODIS,100,6.1NRT,294.2,50.24,N
35.8437,35.9944,305.09,1.96,1.37,2025-07-05,1900,Terra,MODIS,32,6.1NRT,292.39,13.34,N
35.84505,35.94658,318.69,1.95,1.36,2025-07-05,1900,Terra,MODIS,97,6.1NRT,293.96,40.82,N
35.84665,35.96647,314.68,1.96,1.37,2025-07-05,1900,Terra,MODIS,90,6.1NRT,292.88,32.9,N
35.84831,35.98717,310.62,1.96,1.37,2025-07-05,1900,Terra,MODIS,80,6.1NRT,292.33,25.02,N
35.74855,35.95158,304.9,2.11,1.41,2025-07-06,115,Aqua,MODIS,62,6.1NRT,291.76,20.1,N
35.83992,35.96128,304.56,2.1,1.41,2025-07-06,115,Aqua,MODIS,61,6.1NRT,291.75,17.24,N
35.84437,35.94021,336.61,2.09,1.41,2025-07-06,115,Aqua,MODIS,100,6.1NRT,294.32,112.64,N
35.84768,35.94618,331.89,2.09,1.41,2025-07-06,115,Aqua,MODIS,100,6.1NRT,293.71,92.46,N
35.85218,35.92542,310.87,2.09,1.41,2025-07-06,115,Aqua,MODIS,81,6.1NRT,292.95,28.82,N
35.73512,35.95021,326.37,1.42,1.18,2025-07-06,701,Terra,MODIS,55,6.1NRT,306.74,17.31,D
35.74126,35.95749,344.93,1.42,1.18,2025-07-06,701,Terra,MODIS,89,6.1NRT,308.84,60.52,D
35.74285,35.94186,383.59,1.42,1.18,2025-07-06,701,Terra,MODIS,100,6.1NRT,308.16,256.24,D
35.74557,35.95121,368.8,1.42,1.18,2025-07-06,701,Terra,MODIS,100,6.1NRT,309.24,162.62,D
35.7472,35.93605,362.31,1.42,1.18,2025-07-06,701,Terra,MODIS,100,6.1NRT,307.77,130.08,D
35.75319,35.94396,348.03,1.42,1.18,2025-07-06,701,Terra,MODIS,92,6.1NRT,306.46,71.55,D
35.83529,35.93128,325.86,1.43,1.18,2025-07-06,701,Terra,MODIS,31,6.1NRT,305.53,18.42,D
35.83966,35.92587,325.25,1.43,1.18,2025-07-06,701,Terra,MODIS,43,6.1NRT,303.7,15.1,D
35.70962,35.98655,354.57,1.45,1.19,2025-07-06,1217,Aqua,MODIS,96,6.1NRT,310.35,98.34,D
35.71506,35.99146,372.05,1.45,1.19,2025-07-06,1217,Aqua,MODIS,100,6.1NRT,310.48,188.05,D
35.7256,35.93682,368.05,1.44,1.19,2025-07-06,1217,Aqua,MODIS,100,6.1NRT,314.71,153.18,D
35.72713,35.95141,408.66,1.44,1.19,2025-07-06,1217,Aqua,MODIS,100,6.1NRT,317.76,494.85,D
35.736,35.93514,408.4,1.44,1.19,2025-07-06,1217,Aqua,MODIS,100,6.1NRT,320.49,488.49,D
35.73761,35.95023,439.32,1.44,1.19,2025-07-06,1217,Aqua,MODIS,100,6.1NRT,324.04,962.32,D
35.74804,35.94873,336.82,1.44,1.19,2025-07-06,1217,Aqua,MODIS,76,6.1NRT,317.15,28.85,D
35.83795,35.9268,350.36,1.44,1.19,2025-07-06,1217,Aqua,MODIS,92,6.1NRT,311.74,78.29,D
35.83949,35.94129,338.7,1.45,1.19,2025-07-06,1217,Aqua,MODIS,71,6.1NRT,311.13,42.03,D
35.84107,35.95613,339.35,1.45,1.19,2025-07-06,1217,Aqua,MODIS,71,6.1NRT,309.32,44.91,D
35.85234,35.93492,305.83,2.14,1.42,2025-07-07,18,Aqua,MODIS,66,6.1NRT,294.5,18.95,N
35.83653,35.92345,359.41,1.53,1.22,2025-07-07,739,Terra,MODIS,99,6.1NRT,307.36,137.91,D
35.84726,35.92529,358.34,1.53,1.22,2025-07-07,739,Terra,MODIS,99,6.1NRT,305.5,134.86,D
35.85085,35.93182,325.05,1.53,1.22,2025-07-07,739,Terra,MODIS,37,6.1NRT,302.02,24.87,D
35.74141,35.93604,314.36,1.08,1.04,2025-07-07,1843,Terra,MODIS,87,6.1NRT,297.39,11.87,N
35.83963,35.91128,338.29,1.08,1.04,2025-07-07,1843,Terra,MODIS,100,6.1NRT,300.68,40.67,N
35.84101,35.92259,348.35,1.08,1.04,2025-07-07,1843,Terra,MODIS,100,6.1NRT,302.38,61.6,N
35.84595,35.88668,312.77,1.08,1.04,2025-07-07,1843,Terra,MODIS,83,6.1NRT,298,8.49,N
35.84874,35.90949,448.52,1.08,1.04,2025-07-07,1843,Terra,MODIS,100,6.1NRT,321.64,768.41,N
35.85011,35.92065,465.21,1.08,1.04,2025-07-07,1843,Terra,MODIS,100,6.1NRT,329.65,1034.92,N
35.85152,35.93218,308.86,1.08,1.04,2025-07-07,1843,Terra,MODIS,61,6.1NRT,296.16,6.17,N
35.85503,35.88478,309.01,1.08,1.04,2025-07-07,1843,Terra,MODIS,26,6.1NRT,297.72,5.03,N
35.85648,35.89648,312.12,1.08,1.04,2025-07-07,1843,Terra,MODIS,81,6.1NRT,297.9,7.26,N
35.85788,35.90793,371.09,1.08,1.04,2025-07-07,1843,Terra,MODIS,100,6.1NRT,300.24,128.6,N
35.85927,35.91928,408.23,1.08,1.04,2025-07-07,1843,Terra,MODIS,100,6.1NRT,302.66,337.61,N
35.74525,35.93747,311.79,1.1,1.04,2025-07-08,54,Aqua,MODIS,83,6.1NRT,295.06,11.67,N
35.85902,35.92418,317.63,1.09,1.04,2025-07-08,54,Aqua,MODIS,93,6.1NRT,294.73,16.47,N
35.86094,35.91287,348.1,1.09,1.04,2025-07-08,54,Aqua,MODIS,100,6.1NRT,298.96,65.01,N
35.86803,35.92667,321.77,1.09,1.04,2025-07-08,54,Aqua,MODIS,100,6.1NRT,295.22,20.73,N
35.86994,35.91544,331.5,1.09,1.04,2025-07-08,54,Aqua,MODIS,100,6.1NRT,296.04,33.17,N
35.85014,35.92978,331.15,2.91,1.63,2025-07-08,642,Terra,MODIS,70,6.1NRT,300.15,105.19,D
35.85246,35.93773,328.23,2.91,1.63,2025-07-08,642,Terra,MODIS,68,6.1NRT,299.64,83.86,D
35.85457,35.902,327.69,2.93,1.63,2025-07-08,642,Terra,MODIS,40,6.1NRT,301.01,79.57,D
35.86467,35.92911,325.26,2.91,1.63,2025-07-08,642,Terra,MODIS,52,6.1NRT,298.96,73.01,D
35.85264,35.9076,328.51,1,1,2025-07-08,1155,Aqua,MODIS,51,6.1NRT,308.44,10.34,D
35.8559,35.92919,365.49,1,1,2025-07-08,1155,Aqua,MODIS,100,6.1NRT,312.59,84.99,D
35.85752,35.93991,400.52,1,1,2025-07-08,1155,Aqua,MODIS,94,6.1NRT,310.71,242.9,D
35.86298,35.91633,338.83,1,1,2025-07-08,1155,Aqua,MODIS,81,6.1NRT,308.28,24.49,D
35.8646,35.92712,377.54,1,1,2025-07-08,1155,Aqua,MODIS,100,6.1NRT,312.01,127.39,D
35.86623,35.93789,426.67,1,1,2025-07-08,1155,Aqua,MODIS,94,6.1NRT,310.34,441.98,D
35.866,35.92768,306.31,4.22,1.9,2025-07-08,1919,Terra,MODIS,41,6.1NRT,293.52,48.48,N
35.86986,35.9444,325.73,1,1,2025-07-09,722,Terra,MODIS,51,6.1NRT,305.75,14.8,D
35.8428,35.93457,331.55,2.82,1.6,2025-07-09,1234,Aqua,MODIS,68,6.1NRT,303.96,80.21,D
35.8483,35.92669,325.16,2.82,1.6,2025-07-09,1234,Aqua,MODIS,23,6.1NRT,304.6,48.29,D
35.8502,35.95531,331.5,2.83,1.61,2025-07-09,1234,Aqua,MODIS,66,6.1NRT,302.66,83.19,D
35.85701,35.93437,333.93,2.82,1.6,2025-07-09,1234,Aqua,MODIS,77,6.1NRT,305.85,101.06,D
35.86255,35.92709,331.05,2.82,1.6,2025-07-09,1234,Aqua,MODIS,65,6.1NRT,305.43,87.49,D
35.87124,35.93434,326.49,2.82,1.6,2025-07-09,1234,Aqua,MODIS,29,6.1NRT,303.29,59.09,D
35.85538,35.94342,305.42,1.14,1.07,2025-07-09,1821,Terra,MODIS,33,6.1NRT,294.7,6.43,N
35.85737,35.95581,337.15,1.14,1.06,2025-07-09,1821,Terra,MODIS,100,6.1NRT,296.48,46.16,N
35.85939,35.96842,325.58,1.14,1.06,2025-07-09,1821,Terra,MODIS,100,6.1NRT,295.14,27.13,N
35.86418,35.96123,314.92,1.14,1.06,2025-07-09,1821,Terra,MODIS,88,6.1NRT,294.39,14.67,N
35.85373,35.96428,325.73,1.17,1.08,2025-07-10,35,Aqua,MODIS,100,6.1NRT,294,30.91,N
35.85727,35.97213,318.96,1.17,1.08,2025-07-10,35,Aqua,MODIS,98,6.1NRT,293.58,21.19,N
35.85888,35.95902,321.12,1.17,1.08,2025-07-10,35,Aqua,MODIS,100,6.1NRT,294.09,23.33,N
35.8667,35.97379,325.87,1.17,1.08,2025-07-10,35,Aqua,MODIS,100,6.1NRT,293.22,30.85,N
35.86833,35.9606,308.76,1.17,1.08,2025-07-10,35,Aqua,MODIS,75,6.1NRT,292.42,11.22,N
35.85685,35.95735,320.37,3.21,1.7,2025-07-10,758,Terra,MODIS,56,6.1NRT,296.31,59.33,D
35.8489,35.95539,349.52,1.62,1.25,2025-07-10,1134,Aqua,MODIS,95,6.1NRT,301.76,100.16,D
35.85245,35.97353,345.95,1.61,1.25,2025-07-10,1134,Aqua,MODIS,93,6.1NRT,301.39,87.08,D
35.85947,35.95129,347.97,1.62,1.25,2025-07-10,1134,Aqua,MODIS,94,6.1NRT,305.52,95.81,D
35.86299,35.96932,327.2,1.61,1.25,2025-07-10,1134,Aqua,MODIS,60,6.1NRT,300.78,31.16,D
35.87008,35.94733,343.46,1.62,1.25,2025-07-10,1134,Aqua,MODIS,92,6.1NRT,304.27,81.8,D
35.87358,35.96536,323.3,1.61,1.25,2025-07-10,1134,Aqua,MODIS,75,6.1NRT,301.29,25.45,D
35.85118,35.95926,316.74,2.04,1.39,2025-07-10,1902,Terra,MODIS,93,6.1NRT,294.84,38.91,N
35.85284,35.97979,304.14,2.04,1.39,2025-07-10,1902,Terra,MODIS,12,6.1NRT,293.75,13.24,N
35.86523,35.97919,318.92,2.04,1.39,2025-07-10,1902,Terra,MODIS,97,6.1NRT,294.97,44.3,N
35.83881,35.96112,376.39,1.32,1.14,2025-07-11,1214,Aqua,MODIS,100,6.1NRT,315.57,178.11,D
35.84037,35.97487,348.48,1.32,1.14,2025-07-11,1214,Aqua,MODIS,91,6.1NRT,313.58,56.62,D
35.86052,35.98052,346.25,1.33,1.14,2025-07-11,1214,Aqua,MODIS,82,6.1NRT,316.23,53.57,D
35.86201,35.98576,364.9,1.33,1.14,2025-07-11,1214,Aqua,MODIS,100,6.1NRT,315.79,122.49,D
35.86206,35.99454,350.96,1.33,1.14,2025-07-11,1214,Aqua,MODIS,93,6.1NRT,311.04,72.92,D
35.86362,35.99977,342.58,1.33,1.14,2025-07-11,1214,Aqua,MODIS,71,6.1NRT,308.5,46.73,D
35.87057,35.97922,336.04,1.33,1.14,2025-07-11,1214,Aqua,MODIS,53,6.1NRT,311.65,31.49,D
35.87756,35.95039,342.47,1.32,1.14,2025-07-11,1214,Aqua,MODIS,82,6.1NRT,310.59,47.15,D
35.87901,35.96345,333.7,1.32,1.14,2025-07-11,1214,Aqua,MODIS,45,6.1NRT,310.37,26.74,D
35.88052,35.97706,349.65,1.33,1.14,2025-07-11,1214,Aqua,MODIS,92,6.1NRT,309.16,70.47,D
35.86794,35.98971,315.21,2.11,1.41,2025-07-11,1802,Terra,MODIS,66,6.1NRT,296.26,31.36,N
35.88002,35.98558,325.48,2.11,1.41,2025-07-11,1802,Terra,MODIS,100,6.1NRT,297.64,60.55,N
35.89228,35.98236,309.62,2.11,1.41,2025-07-11,1802,Terra,MODIS,71,6.1NRT,295.63,21.47,N
35.87283,35.96906,331.89,3.45,1.75,2025-07-12,1115,Aqua,MODIS,56,6.1NRT,309.05,125.02,D